"g15_name","g331goodstnvedcode","cost","quantity","type","price"
"ЛАТВИЯ","0803901000","11997097.11","556191","Бананы","21.57"
"НИДЕРЛАНДЫ","0702000007","11346987.06","286578","Томаты(общее)","39.59"
"БРАЗИЛИЯ","0805501000","11058079.5","432000","Лимоны","25.60"
"НИДЕРЛАНДЫ","0702000002","9403253.55","91944","Томаты(общее)","102.27"
"ПОЛЬША","0702000001","9275245.200000001","125190","Томаты(общее)","74.09"
"УЗБЕКИСТАН","0702000007","8857162.89","193734","Томаты(общее)","45.72"
"ГРУЗИЯ","0702000001","8640704.16","285309","Томаты(общее)","30.29"
"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА","0805501000","8166399.75","326925","Лимоны","24.98"
"ЛИТВА","0702000006","7784908.38","103824","Томаты(общее)","74.98"
"ИСПАНИЯ","0805501000","7563379.859999999","326457","Лимоны","23.17"
"КИТАЙ","0805501000","5015520","216000","Лимоны","23.22"
"ИТАЛИЯ","0702000001","3864398.22","42750","Томаты(общее)","90.40"
"УЗБЕКИСТАН","0702000005","3730374","182340","Томаты(общее)","20.46"
"НИДЕРЛАНДЫ","0702000009","3253332.6","53244","Томаты(общее)","61.10"
"ПОЛЬША","0805501000","2782422.9000000004","78030","Лимоны","35.66"
"ТАДЖИКИСТАН","0805501000","1477799.64","51948","Лимоны","28.45"
"УЗБЕКИСТАН","0805501000","1120351.4999999998","24489","Лимоны","45.75"
"ПОЛЬША","0702000002","777186.9","19530","Томаты(общее)","39.79"
"ПОЛЬША","0702000009","462591","6300","Томаты(общее)","73.43"
"ПОЛЬША","0702000004","391910.39999999997","12096","Томаты(общее)","32.40"
"ПОЛЬША","0702000003","260593.2","7290","Томаты(общее)","35.75"
"УЗБЕКИСТАН","0702000004","44906.4","720","Томаты(общее)","62.37"
"ТУРЦИЯ","0803901000","3709.7999999999997","180","Бананы","20.61"
"УЗБЕКИСТАН","0702000006","1741.5000000000002","90","Томаты(общее)","19.35"
